행정동_코드,지역명,2023,2024,2025,3년_증감
11320521,도봉구 도봉1동,9,7,5,-4
11320522,도봉구 도봉2동,2,2,1,-1
11320660,도봉구 쌍문1동,4,6,6,2
11320670,도봉구 쌍문2동,2,1,1,-1
11320680,도봉구 쌍문3동,4,3,3,-1
11320681,도봉구 쌍문4동,3,3,2,-1
11320690,도봉구 방학1동,5,6,7,2
11320700,도봉구 방학2동,6,4,4,-2
11320710,도봉구 방학3동,3,3,3,0
11350560,노원구 월계1동,12,13,12,0
11350570,노원구 월계2동,3,2,0,-3
11350580,노원구 월계3동,2,3,3,1
11350595,노원구 공릉1동,6,6,6,0
11350600,노원구 공릉2동,14,13,11,-3
11350611,노원구 하계1동,6,6,6,0
11350612,노원구 하계2동,1,1,2,1
11350619,노원구 중계본동,3,3,2,-1
11350621,노원구 중계1동,3,3,3,0
11350624,노원구 중계4동,4,6,5,1
11350625,노원구 중계2.3동,0,0,0,0
11350630,노원구 상계1동,3,3,2,-1
11350640,노원구 상계2동,4,4,4,0
11350665,노원구 상계3.4동,5,4,5,0
11350670,노원구 상계5동,5,4,2,-3
11350695,노원구 상계6.7동,8,6,6,-2
11350700,노원구 상계8동,0,0,0,0
11350710,노원구 상계9동,1,1,1,0
11350720,노원구 상계10동,1,1,1,0
11380510,은평구 녹번동,8,8,8,0
11380520,은평구 불광1동,6,8,8,2
11380530,은평구 불광2동,1,1,1,0
11380551,은평구 갈현1동,7,5,5,-2
11380552,은평구 갈현2동,5,7,5,0
11380560,은평구 구산동,2,2,2,0
11380570,은평구 대조동,7,6,7,0
11380580,은평구 응암1동,4,6,5,1
11380590,은평구 응암2동,4,4,2,-2
11380600,은평구 응암3동,11,10,10,-1
11380625,은평구 역촌동,10,11,9,-1
11380631,은평구 신사1동,3,3,2,-1
11380632,은평구 신사2동,5,4,4,-1
11380640,은평구 증산동,5,5,6,1
11380650,은평구 수색동,3,3,2,-1
11380690,은평구 진관동,5,7,8,3
11410520,서대문구 천연동,3,2,2,-1
11410555,서대문구 북아현동,0,0,0,0
11410565,서대문구 충현동,7,10,9,2
11410585,서대문구 신촌동,30,19,15,-15
11410615,서대문구 연희동,11,12,10,-1
11410620,서대문구 홍제1동,2,0,0,-2
11410640,서대문구 홍제3동,3,3,2,-1
11410655,서대문구 홍제2동,4,4,3,-1
11410660,서대문구 홍은1동,3,3,3,0
11410685,서대문구 홍은2동,7,7,8,1
11410690,서대문구 남가좌1동,3,3,3,0
11410700,서대문구 남가좌2동,3,4,4,1
11410710,서대문구 북가좌1동,2,2,2,0
11410720,서대문구 북가좌2동,4,4,6,2
11440555,마포구 아현동,3,3,3,0
11440565,마포구 공덕동,10,10,9,-1
11440585,마포구 도화동,5,6,7,2
11440590,마포구 용강동,7,8,7,0
11440600,마포구 대흥동,4,4,4,0
11440610,마포구 염리동,6,7,6,0
11440630,마포구 신수동,1,1,1,0
11440655,마포구 서강동,8,11,12,4
11440660,마포구 서교동,36,41,41,5
11440680,마포구 합정동,9,8,9,0
11440690,마포구 망원1동,10,10,8,-2
11440700,마포구 망원2동,4,4,3,-1
11440710,마포구 연남동,10,8,8,-2
11440720,마포구 성산1동,6,8,9,3
11440730,마포구 성산2동,6,5,6,0
11440740,마포구 상암동,14,13,12,-2
11470510,양천구 목1동,11,10,10,-1
11470520,양천구 목2동,10,10,9,-1
11470530,양천구 목3동,4,6,6,2
11470540,양천구 목4동,9,9,6,-3
11470550,양천구 목5동,2,2,1,-1
11470560,양천구 신월1동,4,5,6,2
11470570,양천구 신월2동,1,1,1,0
11470580,양천구 신월3동,1,0,0,-1
11470590,양천구 신월4동,3,3,3,0
11470600,양천구 신월5동,5,4,4,-1
11470610,양천구 신월6동,1,3,3,2
11470611,양천구 신월7동,4,4,4,0
11470620,양천구 신정1동,2,3,3,1
11470630,양천구 신정2동,3,5,4,1
11470640,양천구 신정3동,5,5,7,2
11470650,양천구 신정4동,15,15,16,1
11470670,양천구 신정6동,6,7,8,2
11470680,양천구 신정7동,2,2,1,-1
11500510,강서구 염창동,12,12,12,0
